********************************************************************************
		Marvellous Infosystems Process Log
		log File Is Created At:Fri Jun 20 17:31:45 2025
********************************************************************************{'name': 'System Idle Process', 'pid': 0, 'vms': 0.05859375} 

{'name': 'System', 'pid': 4, 'vms': 0.03515625} 

{'name': '', 'pid': 140, 'vms': 0.171875} 

{'name': 'Registry', 'pid': 184, 'vms': 20.5625} 

{'name': 'svchost.exe', 'pid': 464, 'vms': 6.6796875} 

{'name': 'wininit.exe', 'pid': 532, 'vms': 1.578125} 

{'name': 'smss.exe', 'pid': 552, 'vms': 1.15234375} 

{'name': 'csrss.exe', 'pid': 980, 'vms': 2.4140625} 

{'name': 'services.exe', 'pid': 1060, 'vms': 6.15234375} 

{'name': 'LsaIso.exe', 'pid': 1068, 'vms': 1.4609375} 

{'name': 'lsass.exe', 'pid': 1092, 'vms': 12.58984375} 

{'name': 'svchost.exe', 'pid': 1220, 'vms': 15.92578125} 

{'name': 'fontdrvhost.exe', 'pid': 1248, 'vms': 1.80859375} 

{'name': 'WUDFHost.exe', 'pid': 1292, 'vms': 8.8984375} 

{'name': 'cmd.exe', 'pid': 1332, 'vms': 1.890625} 

{'name': 'svchost.exe', 'pid': 1352, 'vms': 11.68359375} 

{'name': 'Code.exe', 'pid': 1392, 'vms': 10.75} 

{'name': 'svchost.exe', 'pid': 1400, 'vms': 2.734375} 

{'name': 'svchost.exe', 'pid': 1472, 'vms': 3.40234375} 

{'name': 'Code.exe', 'pid': 1572, 'vms': 15.1796875} 

{'name': 'conhost.exe', 'pid': 1612, 'vms': 1.2421875} 

{'name': 'msedgewebview2.exe', 'pid': 1672, 'vms': 13.8359375} 

{'name': 'svchost.exe', 'pid': 1676, 'vms': 1.24609375} 

{'name': 'svchost.exe', 'pid': 1692, 'vms': 2.41796875} 

{'name': 'svchost.exe', 'pid': 1700, 'vms': 7.46484375} 

{'name': 'svchost.exe', 'pid': 1736, 'vms': 2.28125} 

{'name': 'svchost.exe', 'pid': 1764, 'vms': 3.75390625} 

{'name': 'svchost.exe', 'pid': 1772, 'vms': 3.39453125} 

{'name': 'servicehost.exe', 'pid': 1824, 'vms': 25.41796875} 

{'name': 'HPSystemEventUtilityBackground.exe', 'pid': 1836, 'vms': 41.09765625} 

{'name': 'mc-fw-host.exe', 'pid': 1904, 'vms': 8.78125} 

{'name': 'svchost.exe', 'pid': 1932, 'vms': 3.578125} 

{'name': 'spoolsv.exe', 'pid': 1992, 'vms': 5.87890625} 

{'name': 'svchost.exe', 'pid': 2008, 'vms': 3.21875} 

{'name': 'svchost.exe', 'pid': 2016, 'vms': 2.26171875} 

{'name': 'svchost.exe', 'pid': 2100, 'vms': 1.91796875} 

{'name': 'IntelCpHDCPSvc.exe', 'pid': 2120, 'vms': 1.3046875} 

{'name': 'svchost.exe', 'pid': 2164, 'vms': 2.98828125} 

{'name': 'ctfmon.exe', 'pid': 2180, 'vms': 8.47265625} 

{'name': 'svchost.exe', 'pid': 2188, 'vms': 2.18359375} 

{'name': 'svchost.exe', 'pid': 2236, 'vms': 7.484375} 

{'name': 'svchost.exe', 'pid': 2256, 'vms': 2.06640625} 

{'name': 'svchost.exe', 'pid': 2280, 'vms': 2.44140625} 

{'name': 'svchost.exe', 'pid': 2304, 'vms': 2.484375} 

{'name': 'svchost.exe', 'pid': 2388, 'vms': 2.15234375} 

{'name': 'msedgewebview2.exe', 'pid': 2480, 'vms': 215.69140625} 

{'name': 'svchost.exe', 'pid': 2616, 'vms': 1.375} 

{'name': 'svchost.exe', 'pid': 2656, 'vms': 2.07421875} 

{'name': 'RtkAudUService64.exe', 'pid': 2704, 'vms': 4.7265625} 

{'name': 'svchost.exe', 'pid': 2728, 'vms': 3.640625} 

{'name': 'svchost.exe', 'pid': 2824, 'vms': 3.20703125} 

{'name': 'msedgewebview2.exe', 'pid': 2872, 'vms': 35.78125} 

{'name': 'svchost.exe', 'pid': 2876, 'vms': 3.234375} 

{'name': 'igfxCUIServiceN.exe', 'pid': 2992, 'vms': 2.4296875} 

{'name': 'svchost.exe', 'pid': 3044, 'vms': 1.7421875} 

{'name': 'OmenCap.exe', 'pid': 3140, 'vms': 1.9921875} 

{'name': 'svchost.exe', 'pid': 3172, 'vms': 1.6953125} 

{'name': 'svchost.exe', 'pid': 3288, 'vms': 3.7421875} 

{'name': 'NVDisplay.Container.exe', 'pid': 3308, 'vms': 24.75390625} 

{'name': 'WidgetService.exe', 'pid': 3360, 'vms': 5.04296875} 

{'name': 'Code.exe', 'pid': 3388, 'vms': 28.68359375} 

{'name': 'HPMediaNetwork.exe', 'pid': 3392, 'vms': 43.65625} 

{'name': 'svchost.exe', 'pid': 3400, 'vms': 2.109375} 

{'name': 'svchost.exe', 'pid': 3432, 'vms': 17.25390625} 

{'name': 'OmenInstallMonitor.exe', 'pid': 3476, 'vms': 32.4609375} 

{'name': 'svchost.exe', 'pid': 3480, 'vms': 3.37109375} 

{'name': 'svchost.exe', 'pid': 3488, 'vms': 1.46875} 

{'name': 'svchost.exe', 'pid': 3560, 'vms': 2.80078125} 

{'name': 'AppHelperCap.exe', 'pid': 3568, 'vms': 8.45703125} 

{'name': 'svchost.exe', 'pid': 3580, 'vms': 2.1484375} 

